gcf1,gcf2,count,jaccard_index,distance,weight
GCF_0df2f492b5,GCF_cea89f0dcf,26,1.0,0.0,1.0
GCF_11d524052c,GCF_29feb4e8ad,37,1.0,0.0,1.0
GCF_11d524052c,GCF_4b6a48dc37,37,1.0,0.0,1.0
GCF_11d524052c,GCF_77cb185f51,37,1.0,0.0,1.0
GCF_11d524052c,GCF_b4b3bbab9b,37,1.0,0.0,1.0
GCF_1d32c7900e,GCF_c382bc26c0,20,1.0,0.0,1.0
GCF_27119445a7,GCF_8c1b2c8d09,50,1.0,0.0,1.0
GCF_29feb4e8ad,GCF_4b6a48dc37,37,1.0,0.0,1.0
GCF_29feb4e8ad,GCF_77cb185f51,37,1.0,0.0,1.0
GCF_29feb4e8ad,GCF_b4b3bbab9b,37,1.0,0.0,1.0
GCF_399c67aa0b,GCF_58dd23226f,20,1.0,0.0,1.0
GCF_3e49c1cc08,GCF_4d1a2b6116,26,1.0,0.0,1.0
GCF_3e49c1cc08,GCF_7079ae269d,26,1.0,0.0,1.0
GCF_3e49c1cc08,GCF_ecb056de4d,26,1.0,0.0,1.0
GCF_49fbfec2d5,GCF_88a6064b76,20,1.0,0.0,1.0
GCF_4b6a48dc37,GCF_77cb185f51,37,1.0,0.0,1.0
GCF_4b6a48dc37,GCF_b4b3bbab9b,37,1.0,0.0,1.0
GCF_4d1a2b6116,GCF_7079ae269d,26,1.0,0.0,1.0
GCF_4d1a2b6116,GCF_ecb056de4d,26,1.0,0.0,1.0
GCF_7079ae269d,GCF_ecb056de4d,26,1.0,0.0,1.0
GCF_77cb185f51,GCF_b4b3bbab9b,37,1.0,0.0,1.0
GCF_87eeb8eb68,GCF_e3c108da1d,55,1.0,0.0,1.0
GCF_87f71cd7de,GCF_9cff6a0632,36,1.0,0.0,1.0
GCF_bade770d8a,GCF_e0a9ecb7c0,40,1.0,0.0,1.0
GCF_fbb061d3fa,GCF_ff01f500d5,38,1.0,0.0,1.0
GCF_87eeb8eb68,GCF_c943644b31,55,0.98214286,0.01785714000000005,0.98214286
GCF_c943644b31,GCF_e3c108da1d,55,0.98214286,0.01785714000000005,0.98214286
GCF_1f2a9cd9d8,GCF_2a91f555be,44,0.97777778,0.02222221999999996,0.97777778
GCF_bade770d8a,GCF_e91b1b90ba,39,0.975,0.025000000000000022,0.975
GCF_e0a9ecb7c0,GCF_e91b1b90ba,39,0.975,0.025000000000000022,0.975
GCF_11d524052c,GCF_45621840d1,37,0.97368421,0.02631578999999995,0.97368421
GCF_29feb4e8ad,GCF_45621840d1,37,0.97368421,0.02631578999999995,0.97368421
GCF_45621840d1,GCF_4b6a48dc37,37,0.97368421,0.02631578999999995,0.97368421
GCF_45621840d1,GCF_77cb185f51,37,0.97368421,0.02631578999999995,0.97368421
